index	text	sentiment	speaker	sentiment	movingave (bin20)	movingave
0	"John Ronald Reuel Tolkien The Hobbit, or There and Back Again "		None	NaN	0	0
1	 I  An Unexpected Party  In a hole in the ground there lived a hobbit.	  Negative	None	-1	0	0
2	"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort."	  Positive	None	1	0	0
3	"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."	  Positive	None	1	0	0
4	"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with panelled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats - the hobbit was fond of visitors."	  Positive	None	1	0	0
5	"The tunnel wound on and on, going fairly but not quite straight into the side of the hill - The Hill, as all the people for many miles round called it - and many little round doors opened out of it, first on one side and then on another."	  Negative	None	-1	0	0
6	"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."	  Negative	None	-1	0	0
7	"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden and meadows beyond, sloping down to the river."	  Negative	None	-1	0	0
8	"This hobbit was a very well-to-do hobbit, and his name was Baggins."	  Positive	None	1	0	0
9	"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."	  Positive	None	1	0	0
10	"This is a story of how a Baggins had an adventure, found himself doing and saying things altogether unexpected."	  Positive	None	1	0	0
11	"He may have lost the neighbours' respect, but he gained-well, you will see whether he gained anything in the end."	  Positive	None	1	0	0
12	The mother of our particular hobbit _—_ what is a hobbit?	  Neutral	None	0	0	0
13	"I suppose hobbits need some description nowadays, since they have become rare and shy of the Big People, as they call us."	  Positive	None	1	0	0
