index	speaker	text	sentiment	sentiment val	movingave(5eachside)	movingave (10 sentence)	movingave
0	Kafka Tamura	"Kafka on the Shore by Haruki Murakami The Boy Named Crow ""So you're all set for money, then?"	  Neutral	0	0	0	0
1	None	 the boy named Crow asks in his typical sluggish voice.	  Neutral	0	0	0	0
2	None	The kind of voice like when you've just woken up and your mouth still feels heavy and dull.	  Negative	-1	0	0	0
3	None	But he's just pretending.	  Neutral	0	0	0	0
4	None	He's totally awake.	  Neutral	0	0	0	0
5	None	As always.	  Neutral	0	-0.18182	0	0
6	None	I nod.	  Neutral	0	-0.18182	0	0
7	None	How much?	  Neutral	0	-0.27273	0	0
8	None	 I review the numbers in my head.	  Positive	1	-0.18182	0	0
9	None	"Close to thirty-five hundred in cash, plus some money I can get from an ATM."	  Negative	-1	-0.18182	0	0
10	None	"I know it's not a lot, but it should be enough."	  Negative	-1	-0.27273	-0.19048	0.064542659
11	None	For the time being.	  Neutral	0	-0.27273	-0.19048	0.064542659
12	None	" Not bad,"" the boy named Crow says."	  Negative	-1	-0.27273	-0.19048	0.064542659
13	None	For the time being.	  Neutral	0	-0.18182	-0.19048	0.064542659
14	None	 I give him another nod.	  Neutral	0	-0.36364	-0.2381	0.016922659
15	None	I'm guessing this isn't Christmas money from Santa Claus.	  Negative	-1	-0.27273	-0.19048	0.064542659
16	None	" Yeah, you're right,"" I reply."	  Neutral	0	-0.18182	-0.19048	0.064542659
17	None	Crow smirks and looks around.	  Neutral	0	-0.18182	-0.19048	0.064542659
18	None	"I imagine you've started by rifling drawers, am I right?"	  Positive	1	-0.18182	-0.2381	0.016922659
19	None	 I don't say anything.	  Negative	-1	-0.27273	-0.33333	-0.078307341
20	None	"He knows whose money we're talking about, so there's no need for any long-winded interrogations."	  Neutral	0	-0.18182	-0.33333	-0.078307341
21	None	He's just giving me a hard time.	  Neutral	0	-0.090909	-0.28571	-0.030687341
22	None	"No matter, Crow says."	  Neutral	0	-0.090909	-0.28571	-0.030687341
23	None	"You really need this money and you're going to get it-- beg, borrow, or steal."	  Negative	-1	-0.18182	-0.2381	0.016922659
24	None	"It's your father's money, so who cares, right?"	  Negative	-1	-0.36364	-0.28571	-0.030687341
25	None	Get your hands on that much and you should be able to make it.	  Positive	1	-0.36364	-0.28571	-0.030687341
26	None	For the time being.	  Neutral	0	-0.36364	-0.2381	0.016922659
27	None	But what's the plan after it's all gone?	  Neutral	0	-0.36364	-0.2381	0.016922659
28	None	"Money isn't like mushrooms in a forest--it doesn't just pop up on its own, you know."	  Negative	-1	-0.36364	-0.2381	0.016922659
29	None	"You'll need to eat, a place to sleep."	  Negative	-1	-0.36364	-0.28571	-0.030687341
30	None	One day you're going to run out.	  Negative	-1	-0.27273	-0.28571	-0.030687341
31	None	" I'll think about that when the time comes,"" I say."	  Neutral	0	-0.36364	-0.33333	-0.078307341
32	None	"When the time comes, Crow repeats, as if weighing these words in his hand."	  Neutral	0	-0.36364	-0.38095	-0.125927341
33	None	I nod.	  Neutral	0	-0.36364	-0.38095	-0.125927341
34	None	Like by getting a job or something?	  Negative	-1	-0.27273	-0.38095	-0.125927341
35	None	" Maybe,"" I say."	  Neutral	0	-0.27273	-0.38095	-0.125927341
36	None	Crow shakes his head.	  Neutral	0	-0.27273	-0.42857	-0.173547341
37	None	"You know, you've got a lot to learn about the world."	  Neutral	0	-0.36364	-0.38095	-0.125927341
