index	speaker	sentiment	movingave(bin 20)	text	movingave
1		Neutral	0	THE GLASS MENAGERIE.	0
2		Neutral	0	"by Tennessee Williams, 1944."	0
3		Neutral	0	SCENE 1.	0
4		Negative	0	"The Wingfield apartment is in the rear of the building, one of those vast hive-like conglomerations of cellular living-units that flower as warty growths in overcrowded urban centres of lower-middle-class population and are symptomatic of the impulse of this largest and fundamentally enslaved section of American society to avoid fluidity and differentiation and to exist and function as one interfused mass of automatism."	0
5		Very Positive	0	"The apartment faces an alley and is entered by a fire-escape, a structure whose name is a touch of accidental poetic truth, for all of these huge buildings are always burning with the slow and implacable fires of human desperation."	0
6		Negative	0	"The fire-escape is included in the set - that is, the landing of it and steps descending from it."	0
7		Neutral	0	The scene is memory and is therefore non-realistic.	0
8		Neutral	0	Memory takes a lot of poetic licence.	0
9		Negative	0	"It omits some details; others are exaggerated, according to the emotional value of the articles it touches, for memory is seated predominantly in the heart."	0
10		Negative	0	The interior is therefore rather dim and poetic.	0
11		Negative	0	"At the rise of the curtain, the audience is faced with the dark, grim rear wall of the Wingfield tenement."	0
12		Very Negative	0	"This building, which runs parallel to the footlights, is flanked on both sides by dark, narrow alleys which run into murky canyons of tangled clothes-lines, garbage cans, and the sinister lattice-work of neighbouring fire-escapes."	0
13		Neutral	0	"It is up and down these alleys that exterior entrances and exits are made, during the play."	0
14		Negative	0	"At the end of Tom's opening commentary, the dark tenement wall slowly reveals (by means of a transparency) the interior of the ground floor Wingfield apartment."	0
15		Negative	0	"Downstage is the living-room, which also serves as a sleeping-room for Laura, the sofa is unfolding to make her bed."	0
16		Neutral	0	"Upstage, centre, and divided by a wide arch or second proscenium with transparent faded portieres (or second curtain), is the dining-room."	0
17		Negative	0	In an old fashioned what-not in the living-room are seen scores of transparent glass animals.	0
18		Negative	0	"A blown-up photograph of the father hangs on the wall of the living-room, facing the audience, to the left of the archway."	0
19		Very Positive	0	It is the face of a very handsome young man in a doughboy's First World War cap.	0
20		Negative	0	"He is gallantly smiling, ineluctably smiling, as if to say 'I will be smiling forever'."	0
21		Negative	-0.33333	The audience hears and sees the opening scene in the dining-room through both the transparent fourth wall of the building and the transparent gauze portieres of the dining-room arch.	-0.255813652
22		Neutral	-0.34211	It is during this revealing scene that the fourth wall slowly ascends out of sight.	-0.264593652
23		Negative	-0.35135	"This transparent exterior wall is not brought down again until the very end of the play, during Tom' s final speech."	-0.273833652
24		Neutral	-0.35135	The narrator is an undisguised convention of the play.	-0.273833652
25		Negative	-0.35135	He takes whatever licence with dramatic convention is convenient to his purpose.	-0.273833652
26		Negative	-0.40541	"TOM enters dressed as a merchant sailor from alley, stage left, and strolls across the front of the stage to the fire-escape."	-0.327893652
27		Negative	-0.37838	There he stops and lights a cigarette.	-0.300863652
28		Positive	-0.35135	He addresses the audience.	-0.273833652
29	Tom	Neutral	-0.35135	"TOM: Yes, I have tricks in my pocket, I have things up my sleeve."	-0.273833652
30	Tom	Negative	-0.2973	But I am the opposite of a stage magician.	-0.219783652
31	Tom	Positive	-0.2973	He gives you illusion that has the appearance of truth.	-0.219783652
32	Tom	Positive	-0.2973	I give you truth in the pleasant disguise of illusion.	-0.219783652
33	Tom	Negative	-0.24324	"To begin with, I turn back time."	-0.165723652
34	Tom	Very Positive	-0.27027	"I reverse it to that quaint period, the thirties, when the huge middle class of America was matriculating in a school for the blind."	-0.192753652
35	Tom	Negative	-0.24324	"Their eyes had failed them or they had failed their eyes, and so they were having their fingers pressed forcibly down on the fiery Braille alphabet of a dissolving economy."	-0.165723652
36	Tom	Neutral	-0.22222	In Spain there was revolution.	-0.144703652
37	Tom	Negative	-0.22857	Here there was only shouting and confusion.	-0.151053652
38	Tom	Neutral	-0.17143	In Spain there was Guernica.	-0.093913652
39	Tom	None	-0.11429	"Here there were disturbances of labour, sometimes pretty violent, in otherwise peaceful cities such as Chicago, Cleveland, Saint Louis. . . ."	-0.036773652
40		None	-0.2	 	-0.122483652
41		Negative	-0.17143	This is the social background of the play.	-0.093913652
42		None	-0.14286	[MUSIC]	-0.065343652
43		None	-0.14286	 	-0.065343652
44		Neutral	-0.14286	The play is memory.	-0.065343652
45		Negative	-0.14706	"Being a memory play, it is dimly lighted, it is sentimental, it is not realistic."	-0.069543652
46		Neutral	-0.12121	In memory everything seems to happen to music.	-0.043693652
47		Neutral	-0.12121	That explains the fiddle in the wings.	-0.043693652
48		Positive	-0.090909	"I am the narrator of the play, and also a character in it."	-0.013392652
49		Neutral	-0.15152	"The other characters are my mother Amanda, my sister Laura and a gentleman caller who appears in the final scenes."	-0.074003652
50		Positive	-0.15152	"He is the most realistic character in the play, being an emissary from a world of reality that we were somehow set apart from."	-0.074003652
51		Negative	-0.12121	"But since I have a poet's weakness for symbols, I am using this character also as a symbol; he is the long-delayed but always expected something that we live for."	-0.043693652
52		Negative	-0.15152	There is a fifth character in the play who doesn't appear except in this larger-than-life-size photograph over the mantel.	-0.074003652
53		Neutral	-0.18182	This is our father who left us a long time ago.	-0.104303652
54		Negative	-0.15152	"He was a telephone man who fell in love with long distances; he gave up his job with the telephone company and skipped the light fantastic out of town... The last we heard of him was a picture postcard from Mazatlan, on the Pacific coast of Mexico, containing a message of two words - 'Hello - Good-bye!'"	-0.074003652
55		Neutral	-0.21212	and no address.	-0.134603652
56		None	-0.21212	I think the rest of the play will explain itself ...	-0.134603652
57		None	-0.18182	 	-0.104303652
58		Positive	-0.12121	[AMANDA's voice becomes audible through the portieres.	-0.043693652
59		Positive	-0.090909	LEGEND ON SCREEN: 'Oê_ SONT LES NEIGES'.	-0.013392652
60		Negative	-0.088235	He divides the portieres and enters the upstage area.	-0.010718652
61		Neutral	-0.11429	AMANDA and LAURA are seated at a drop-leaf table.	-0.036773652
62		Neutral	-0.11429	Eating is indicated by gestures without food or utensils.	-0.036773652
63		Neutral	-0.11111	AMANDA faces the audience.	-0.033593652
64		Negative	-0.13514	TOM and LAURA are Seated is profile.	-0.057623652
65		None	-0.13514	The interior has lit up softly and through the scrim we see AMANDA and LAURA seated at the table in the upstage area]	-0.057623652
66		None	-0.13514	 	-0.057623652
67	Amanda	Negative	-0.16216	AMANDA [calling]: Tom?	-0.084643652
68	Tom	Neutral	-0.18919	"TOM: Yes, Mother."	-0.111673652
69	Amanda	Negative	-0.21622	AMANDA: We can't say grace until you come to the table!	-0.138703652
70	Tom	Neutral	-0.18919	"TOM: Coming, Mother."	-0.111673652
71		Neutral	-0.21622	"[He bows slightly and withdraws, reappearing a few moments later in his place at the table.]"	-0.138703652
72	Amanda	Neutral	-0.21622	"AMANDA [to her son]: Honey, don't push with your fingers."	-0.138703652
73	Amanda	Neutral	-0.21622	"If you have to push with something, the thing to push with is a crust of bread."	-0.138703652
74	Amanda	Neutral	-0.18919	And chew !	-0.111673652
75	Amanda	Neutral	-0.18919	chew!	-0.111673652
76	Amanda	Negative	-0.18919	"Animals have sections in their stomachs which enable them to digest flood without mastication, but human beings are supposed to chew their food before they swallow it down."	-0.111673652
77	Amanda	Positive	-0.21053	"Eat food leisurely, son, and really enjoy it."	-0.133013652
78	Amanda	Positive	-0.20513	A well-cooked meal has lots of delicate flavours that have to be held in the mouth for appreciation.	-0.127613652
79	Amanda	Positive	-0.23077	So chew your food and give your salivary glands a chance to function !	-0.153253652
